3025	33	100	1	498	346.0	887	3.79e-123	166	100.0	P68397	2	167	P68397;P68398	sp|P68397.2|	sp|P68397.2|;sp|P68398.2|	RecName: Full=tRNA-specific adenosine deaminase [Shigella flexneri]	RecName: Full=tRNA-specific adenosine deaminase [Shigella flexneri]<>RecName: Full=tRNA-specific adenosine deaminase [Escherichia coli K-12]	swissprot
3025	33	100	1	498	345.0	885	9.96e-123	166	99.398	Q8FF24	2	167	Q8FF24;Q8XA44	sp|Q8FF24.2|	sp|Q8FF24.2|;sp|Q8XA44.2|	RecName: Full=tRNA-specific adenosine deaminase [Escherichia coli CFT073]	RecName: Full=tRNA-specific adenosine deaminase [Escherichia coli CFT073]<>RecName: Full=tRNA-specific adenosine deaminase [Escherichia coli O157:H7]	swissprot
3025	33	99	1	492	312.0	799	1.5300000000000002e-109	164	89.634	Q7CQ08	2	165	Q7CQ08;Q8XGY4	sp|Q7CQ08.2|	sp|Q7CQ08.2|;sp|Q8XGY4.2|	RecName: Full=tRNA-specific adenosine deaminase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	RecName: Full=tRNA-specific adenosine deaminase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]<>RecName: Full=tRNA-specific adenosine deaminase [Salmonella enterica subsp. enterica serovar Typhi]	swissprot
3025	31	92	22	477	184.0	468	3.8600000000000003e-59	153	58.824	P44931	12	164	P44931	sp|P44931.1|	sp|P44931.1|	RecName: Full=tRNA-specific adenosine deaminase [Haemophilus influenzae Rd KW20]	RecName: Full=tRNA-specific adenosine deaminase [Haemophilus influenzae Rd KW20]	swissprot
3025	30	89	16	459	153.0	387	4.18e-47	151	50.993	Q89AM8	4	151	Q89AM8	sp|Q89AM8.1|	sp|Q89AM8.1|	RecName: Full=tRNA-specific adenosine deaminase [Buchnera aphidicola str. Bp (Baizongia pistaciae)]	RecName: Full=tRNA-specific adenosine deaminase [Buchnera aphidicola str. Bp (Baizongia pistaciae)]	swissprot
3025	29	87	28	462	153.0	387	4.470000000000001e-47	145	45.517	P57343	9	153	P57343	sp|P57343.1|	sp|P57343.1|	RecName: Full=tRNA-specific adenosine deaminase [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]	RecName: Full=tRNA-specific adenosine deaminase [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]	swissprot
3025	29	87	25	456	147.0	370	1.48e-44	144	47.222	Q8K9R4	8	150	Q8K9R4	sp|Q8K9R4.1|	sp|Q8K9R4.1|	RecName: Full=tRNA-specific adenosine deaminase [Buchnera aphidicola str. Sg (Schizaphis graminum)]	RecName: Full=tRNA-specific adenosine deaminase [Buchnera aphidicola str. Sg (Schizaphis graminum)]	swissprot
3025	31	93	25	489	135.0	340	5.6399999999999996e-40	155	43.226	Q99W51	6	156	Q99W51	sp|Q99W51.1|	sp|Q99W51.1|	RecName: Full=tRNA-specific adenosine deaminase [Staphylococcus aureus subsp. aureus Mu50]	RecName: Full=tRNA-specific adenosine deaminase [Staphylococcus aureus subsp. aureus Mu50]	swissprot
3025	29	86	22	447	134.0	336	2.21e-39	142	45.07	P21335	5	146	P21335	sp|P21335.1|	sp|P21335.1|	RecName: Full=tRNA-specific adenosine deaminase [Bacillus subtilis subsp. subtilis str. 168]	RecName: Full=tRNA-specific adenosine deaminase [Bacillus subtilis subsp. subtilis str. 168]	swissprot
3025	30	91	25	477	128.0	322	4.6e-37	151	40.397	P0DA20	10	160	P0DA20;P0DA21;Q5XE14	sp|P0DA20.1|	sp|P0DA20.1|;sp|P0DA21.1|;sp|Q5XE14.2|	RecName: Full=tRNA-specific adenosine deaminase [Streptococcus pyogenes MGAS315]	RecName: Full=tRNA-specific adenosine deaminase [Streptococcus pyogenes MGAS315]<>RecName: Full=tRNA-specific adenosine deaminase [Streptococcus pyogenes SSI-1]<>RecName: Full=tRNA-specific adenosine deaminase [Streptococcus pyogenes MGAS10394]	swissprot
3025	30	89	25	468	127.0	320	6.1e-37	148	40.541	Q8P2R7	10	157	Q8P2R7	sp|Q8P2R7.1|	sp|Q8P2R7.1|	RecName: Full=tRNA-specific adenosine deaminase [Streptococcus pyogenes MGAS8232]	RecName: Full=tRNA-specific adenosine deaminase [Streptococcus pyogenes MGAS8232]	swissprot
